Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,? Original Estimate,? Remaining Estimate,? Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Test the comment functionality. (US4.2.4),SCRUM-37,10041,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:49,05-01-2025 00:10,05-01-2025 00:53,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,S4: Collaboration Features,,2,,,,,,,,10000_*:*_1_*:*_1247335_*|*_10002_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:10
Implement frontend integration with APIs. (US4.2.3),SCRUM-36,10040,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:48,05-01-2025 00:27,06-01-2025 00:37,05-01-2025 00:27,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,S4: Collaboration Features,,3,,,,,,,,10000_*:*_1_*:*_1266765_*|*_10001_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:27
Develop backend APIs for storing comments. (US4.2.2),SCRUM-35,10039,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:48,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,S4: Collaboration Features,,3,,,,,,,,10000_*:*_1_*:*_1290635_*|*_10002_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:10
Design the comment input field and UI. (US4.2.1),SCRUM-34,10038,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:48,05-01-2025 00:10,06-01-2025 00:37,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,S4: Collaboration Features,,4,,,,,,,,10000_*:*_1_*:*_1301905_*|*_10002_*:*_1_*:*_0,10032,Enable users to comment on resources and principles. (US04.2),Done,05-01-2025 00:10
Conduct user testing and gather feedback. (US1.1.4),SCRUM-33,10037,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:47,05-01-2025 00:07,06-01-2025 00:37,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,S1: Homepage Agile Manifesto,,5,,,,,,,,10000_*:*_1_*:*_1220597_*|*_10002_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Integrate animations using JavaScript. (US1.1.3),SCRUM-32,10036,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:47,05-01-2025 00:07,06-01-2025 00:37,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,S1: Homepage Agile Manifesto,,3,,,,,,,,10000_*:*_1_*:*_1232401_*|*_10002_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Develop HTML and CSS for the layout. (US1.1.2),SCRUM-31,10035,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:47,05-01-2025 00:07,06-01-2025 00:37,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,S1: Homepage Agile Manifesto,,3,,,,,,,,10000_*:*_1_*:*_1236577_*|*_10002_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Create wireframes for the homepage. (US1.1.1),SCRUM-30,10034,Subtask,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:46,05-01-2025 00:07,05-01-2025 00:06,05-01-2025 00:07,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,S1: Homepage Agile Manifesto,,4,,,,,,,,10000_*:*_1_*:*_1241380_*|*_10001_*:*_1_*:*_0,10022,Design and implement a visually appealing homepage. (US1.1),Done,05-01-2025 00:07
Implement user authentication for collaboration features. (US04.3),SCRUM-29,10033,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SID,557058:e7818814-a7b5-4e3c-8d82-b746fde13dd6,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:44,05-01-2025 00:10,05-01-2025 00:50,05-01-2025 00:10,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,S4: Collaboration Features,,5,,,,,,,,10000_*:*_1_*:*_1589219_*|*_10002_*:*_1_*:*_0,,,Done,05-01-2025 00:10
Enable users to comment on resources and principles. (US04.2),SCRUM-28,10032,Task,Done,SCRUM,Agile Manifesto,software,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,Medium,Done,SHAM,5d1b3d38ca72d00d24b9ee7c,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,04-01-2025 23:43,05-01-2025 00:28,05-01-2025 00:27,05-01-2025 00:28,,0,,,SIVAKUMAR M,712020:43f29996-8e3d-4403-a3c9-bbc1a009000b,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,S4: Collaboration Features,,8,,,,,,,,10000_*:*_1_*:*_1590497_*|*_10001_*:*_1_*:*_0,,,Done,05-01-2025 00:28
